phase,nist,lambda,q_log,hash,ext_e,air,ldt,k,b,r,prove_ms,verify_ms,proof_kib,n_trace,threads,note
1,3,192,40,sha3-384,6,mldsa_v2,fri,8,4,96,NA,NA,NA,NA,10,bench-error
1,3,192,40,sha3-384,6,mldsa_v2,fri,16,8,64,NA,NA,NA,NA,10,bench-error
1,3,192,65,sha3-384,6,ecdsa,stir,2,4,192,834,0.90,201.9,8,10,at-wall(bind=185<192)
1,3,192,65,sha3-384,6,ecdsa,stir,2,8,128,1675,0.83,231.1,8,10,at-wall(bind=185<192)
1,3,192,65,sha3-384,6,ecdsa,stir,2,16,96,4035,0.66,178.2,8,10,at-wall(bind=185<192)
1,3,192,65,sha3-384,6,ecdsa,stir,4,8,128,1857,0.71,149.0,8,10,at-wall(bind=185<192)
1,3,192,65,sha3-384,6,ecdsa,stir,8,8,128,1679,0.87,111.4,8,10,at-wall(bind=185<192)
1,3,192,65,sha3-384,6,mldsa_v2,stir,2,4,192,4581,318.55,72136.0,NA,10,at-wall(bind=185<192)
1,3,192,65,sha3-384,6,mldsa_v2,stir,2,8,128,8796,231.53,50455.7,NA,10,at-wall(bind=185<192)
1,3,192,65,sha3-384,6,mldsa_v2,stir,2,16,96,16516,179.33,38380.3,NA,10,at-wall(bind=185<192)
1,3,192,65,sha3-384,6,mldsa_v2,stir,4,8,128,NA,NA,NA,NA,10,at-wall(bind=185<192);bench-error
1,3,192,65,sha3-384,6,mldsa_v2,stir,8,4,192,NA,NA,NA,NA,10,at-wall(bind=185<192);bench-error
1,3,192,65,sha3-384,6,mldsa_v2,stir,16,8,128,NA,NA,NA,NA,10,at-wall(bind=185<192);bench-error
1,3,192,65,sha3-384,6,mldsa_v2,fri,4,8,64,NA,NA,NA,NA,10,at-wall(bind=185<192);bench-error
1,3,192,65,sha3-384,6,mldsa_v2,fri,8,4,96,NA,NA,NA,NA,10,at-wall(bind=185<192);bench-error
1,3,192,65,sha3-384,6,mldsa_v2,fri,16,8,64,NA,NA,NA,NA,10,at-wall(bind=185<192);bench-error
1,3,192,90,sha3-512,6,ecdsa,stir,2,4,192,831,1.26,265.0,8,10,
1,3,192,90,sha3-512,6,ecdsa,stir,2,8,128,1635,1.21,305.2,8,10,
1,3,192,90,sha3-512,6,ecdsa,stir,2,16,96,3897,0.98,235.4,8,10,
1,3,192,90,sha3-512,6,ecdsa,stir,4,8,128,1574,0.94,195.1,8,10,
1,3,192,90,sha3-512,6,ecdsa,stir,8,8,128,1590,1.04,143.4,8,10,
1,3,192,90,sha3-512,6,mldsa_v2,stir,2,4,192,5682,608.98,109073.1,NA,10,
1,3,192,90,sha3-512,6,mldsa_v2,stir,2,8,128,10907,415.37,76844.0,NA,10,
1,3,192,90,sha3-512,6,mldsa_v2,stir,2,16,96,20524,326.02,58320.8,NA,10,
1,3,192,90,sha3-512,6,mldsa_v2,stir,4,8,128,NA,NA,NA,NA,10,bench-error
1,3,192,90,sha3-512,6,mldsa_v2,stir,8,4,192,NA,NA,NA,NA,10,bench-error
1,3,192,90,sha3-512,6,mldsa_v2,stir,16,8,128,NA,NA,NA,NA,10,bench-error
1,3,192,90,sha3-512,6,mldsa_v2,fri,4,8,64,NA,NA,NA,NA,10,bench-error
1,3,192,90,sha3-512,6,mldsa_v2,fri,8,4,96,NA,NA,NA,NA,10,bench-error
1,3,192,90,sha3-512,6,mldsa_v2,fri,16,8,64,NA,NA,NA,NA,10,bench-error
1,5,256,40,sha3-512,8,ecdsa,stir,2,4,256,849,1.67,353.0,8,10,
1,5,256,40,sha3-512,8,ecdsa,stir,2,8,171,1638,1.59,407.3,8,10,
1,5,256,40,sha3-512,8,ecdsa,stir,2,16,128,3552,1.27,313.4,8,10,
1,5,256,40,sha3-512,8,ecdsa,stir,4,8,171,1592,1.24,260.3,8,10,
1,5,256,40,sha3-512,8,ecdsa,stir,8,8,171,1597,1.37,191.1,8,10,
1,5,256,40,sha3-512,8,mldsa_v2,stir,2,4,256,9722,681.32,120083.9,NA,10,
1,5,256,40,sha3-512,8,mldsa_v2,stir,2,8,171,17982,491.00,84945.2,NA,10,
1,5,256,40,sha3-512,8,mldsa_v2,stir,2,16,128,34531,402.60,65562.9,NA,10,
1,5,256,40,sha3-512,8,mldsa_v2,stir,4,8,171,NA,NA,NA,NA,10,bench-error
1,5,256,40,sha3-512,8,mldsa_v2,stir,8,4,256,NA,NA,NA,NA,10,bench-error
1,5,256,40,sha3-512,8,mldsa_v2,stir,16,8,171,NA,NA,NA,NA,10,bench-error
