phase,nist,lambda,q_log,hash,ext_e,air,ldt,k,b,r,prove_ms,verify_ms,proof_kib,n_trace,threads,note
2,3,192,90,sha3-512,6,rsa2048,fri,2,32,77,149802,8.03,1370.1,4096,10,
2,3,192,90,sha3-512,6,rsa2048,fri,4,16,96,50855,4.65,1171.2,4096,10,
2,3,192,90,sha3-512,6,rsa2048,fri,16,16,96,50294,4.05,1345.4,4096,10,
2,3,192,90,sha3-512,6,mldsa_v2,fri,2,32,77,61136,738.87,105096.2,NA,10,
2,5,256,40,sha3-512,8,rsa2048,fri,2,16,128,50636,11.85,1994.0,4096,10,
2,5,256,40,sha3-512,8,rsa2048,fri,2,32,103,144066,10.69,1832.0,4096,10,
2,5,256,40,sha3-512,8,rsa2048,fri,4,16,128,51143,6.19,1561.2,4096,10,
2,5,256,40,sha3-512,8,rsa2048,fri,16,16,128,50573,5.37,1793.4,4096,10,
2,5,256,40,sha3-512,8,mldsa_v2,fri,2,32,103,109178,879.95,119810.1,NA,10,
2,5,256,65,sha3-512,8,rsa2048,fri,2,16,128,50838,11.90,1994.0,4096,10,
2,5,256,65,sha3-512,8,rsa2048,fri,2,32,103,146085,10.71,1832.0,4096,10,
2,5,256,65,sha3-512,8,rsa2048,fri,4,16,128,50239,6.21,1561.2,4096,10,
2,5,256,65,sha3-512,8,rsa2048,fri,16,16,128,49601,5.37,1793.4,4096,10,
2,5,256,65,sha3-512,8,mldsa_v2,fri,2,32,103,109319,877.76,119810.1,NA,10,
3,1,128,40,sha3-256,6,mldsa_v2,fri,2,64,43,71224,164.58,29212.6,NA,10,
3,1,128,40,sha3-256,6,ed25519,fri,2,16,64,828228,2.57,487.3,1024,10,
3,1,128,40,sha3-256,6,ed25519,fri,2,32,52,1020916,2.31,429.6,1024,10,
3,1,128,40,sha3-256,6,ed25519,fri,2,64,43,5407710,2.07,384.4,1024,10,
3,3,192,40,sha3-384,6,mldsa_v2,fri,2,64,64,93379,373.48,59183.5,NA,10,
3,3,192,40,sha3-384,6,ed25519,fri,2,16,96,35059,5.29,1000.5,1024,10,
3,3,192,40,sha3-384,6,ed25519,fri,2,32,77,1691365,4.78,871.5,1024,10,
3,5,256,40,sha3-512,8,mldsa_v2,fri,2,64,86,249946,911.63,110602.7,NA,10,
3,5,256,40,sha3-512,8,ed25519,fri,2,16,128,46163,9.72,1693.8,1024,10,
3,5,256,40,sha3-512,8,ed25519,fri,2,32,103,2175553,9.99,1480.9,1024,10,
3,5,256,40,sha3-512,8,ed25519,fri,2,64,86,3942218,8.05,1340.4,1024,10,
3,3,192,40,sha3-384,6,ed25519,fri,2,64,64,2583848,4.29,784.7,1024,10,
